Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,Command,Anomaly?,Anomaly Mode,Attribute,Desired Speed,Desired R,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time
72928,0,0,5.09,0.0,0,M,M,M,250,15,36.08,239.63,0,5.09,Force Sensor 3,1,353.06,-67.81,-173.94,5.56,-1440.75,2.69,-0.12,0.05,-1.93,76.06,35.0,-20.19,0.65,-0.01,0.76,0.03,29,-208568320,1635.6,4918290,,0
72951,0,0,5.13,0.0,0,M,M,M,250,15,35.82,244.85,0,5.13,Force Sensor 3,1,356.37,-13.13,-2.62,7.06,-1497.88,3.0,7.63,-0.28,-15.38,13.19,46.0,-69.06,0.99,0.02,0.12,0.03,29,-210305024,-763.71,4918356,66.66666666666667,23
72964,0,0,5.43,0.0,0,M,M,M,250,15,35.96,257.12,0,5.43,Force Sensor 3,1,356.69,1.31,-2.62,6.56,-1503.38,2.81,12.46,-0.09,-18.19,13.19,46.0,-69.06,0.99,0.03,-0.14,0.03,29,-209813504,-1260.19,4918368,71.42857142857143,36
72980,0,0,6.02,0.0,0,M,M,M,250,15,35.23,254.86,0,6.02,Force Sensor 3,1,357.0,15.63,-2.75,6.37,-1492.06,3.19,5.46,-0.17,-21.06,13.19,46.0,-69.06,0.99,0.03,-0.14,0.03,29,-220102656,-1591.89,4918381,62.5,52
72993,0,0,6.06,0.0,0,M,M,M,250,15,35.45,247.37,0,6.06,Force Sensor 3,1,357.31,30.37,-3.12,6.56,-1533.56,3.81,2.82,-0.3,-21.39,-62.5,50.69,-31.69,0.92,0.03,-0.39,0.02,29,-219807744,-1779.87,4918394,76.92307692307692,65
73010,0,0,6.14,0.0,0,M,M,M,250,15,35.83,242.32,0,6.14,Force Sensor 3,1,358.0,60.38,-5.56,7.19,-1566.56,3.12,-0.63,-0.24,-24.2,-62.5,50.69,-31.69,0.86,0.04,-0.5,0.01,29,-227672064,-1779.28,4918407,58.82352941176471,82
73025,0,0,5.94,0.0,0,M,M,M,250,15,36.09,249.89,0,5.94,Force Sensor 3,1,356.56,-4.31,-2.56,6.69,-1488.31,3.0,11.86,-0.34,-17.72,3.69,46.25,-69.37,-1.0,-0.02,-0.04,-0.03,29,-219152384,-932.25,4918605,66.66666666666667,97
73042,0,0,4.93,0.0,0,M,M,M,250,15,35.58,249.81,0,4.93,Force Sensor 3,1,356.87,9.81,-2.69,5.81,-1472.44,2.75,5.18,-0.09,-20.29,3.69,46.25,-69.37,-1.0,-0.03,0.09,-0.03,29,-217874432,-1376.19,4918617,62.5,114
73058,0,0,4.35,0.0,0,M,M,M,250,15,35.71,254.68,0,4.35,Force Sensor 3,1,357.12,24.19,-2.94,7.0,-1497.69,3.62,4.21,-0.03,-20.02,3.69,46.25,-69.37,-0.94,-0.03,0.33,-0.02,29,-212140032,-1665.85,4918629,62.5,130
73074,0,0,4.37,0.0,0,M,M,M,250,15,35.46,254.68,0,4.37,Force Sensor 3,1,357.5,39.06,-3.5,5.75,-1548.0,4.06,4.66,-0.22,-22.66,-67.75,50.0,-21.75,-0.89,-0.04,0.46,-0.02,29,-221478912,-1797.8,4918641,71.42857142857143,146
73087,0,0,4.65,0.0,0,M,M,M,250,15,35.46,264.95,0,4.65,Force Sensor 3,1,358.25,69.31,-7.81,7.12,-1583.94,3.37,0.64,-0.15,-23.11,-67.75,50.0,-21.75,-0.82,-0.04,0.57,-0.01,29,-215908352,-1740.06,4918654,62.5,159
73103,0,0,5.77,0.0,0,M,M,M,250,15,34.94,246.87,0,5.77,Force Sensor 3,1,358.75,83.81,-2.69,7.0,-1553.81,3.5,-2.95,-0.16,-22.0,-67.75,50.0,-21.75,-0.74,-0.04,0.67,-0.01,29,-219086848,-1487.82,4918667,76.92307692307692,175
73119,0,0,5.82,0.0,0,M,M,M,250,15,35.84,249.89,0,5.82,Force Sensor 3,1,359.37,80.25,-163.69,7.31,-1541.13,3.69,-3.56,0.0,-20.74,-67.75,50.0,-21.75,-0.55,-0.04,0.84,0.0,29,-217022464,-1094.93,4918680,58.82352941176471,191
