Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,Command,Anomaly?,Anomaly Mode,Attribute,Desired Speed,Desired R,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time
27293,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.36,247.54,0,,Force Sensor 3,0,359.12,-21.87,-2.25,6.0,-1508.31,2.81,0.0,-0.15,-12.02,72.19,34.5,-31.56,1.0,0.02,0.06,0.01,29,-220626944,339.69,33087,,2
27301,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.73,244.85,0,,Force Sensor 3,0,0.19,37.44,-2.87,6.44,-1575.13,3.25,-0.23,-0.04,-13.64,-3.56,44.25,-68.69,0.95,0.02,-0.32,-0.0,29,-211517440,-96.8,33117,66.66666666666667,10
27317,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.86,252.33,0,,Force Sensor 3,0,0.5,52.5,-3.81,6.19,-1568.25,2.87,1.0,-0.22,-14.31,-3.56,44.25,-68.69,0.9,0.02,-0.44,-0.0,29,-229081088,-280.11,33129,71.42857142857143,26
27333,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.49,255.03,0,,Force Sensor 3,0,0.81,67.75,-6.19,6.19,-1591.75,3.12,2.51,0.04,-13.13,-3.56,44.25,-68.69,0.75,0.02,-0.66,-0.01,29,-211877888,-412.61,33142,62.5,42
27345,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.35,254.94,0,,Force Sensor 3,0,1.25,82.62,-18.5,6.81,-1569.69,3.69,1.01,-0.24,-13.21,-3.56,44.25,-68.69,0.66,0.02,-0.75,-0.01,29,-217546752,-537.97,33157,66.66666666666667,54
27363,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.1,257.2,0,,Force Sensor 3,0,2.44,67.12,-174.19,6.37,-1524.94,3.06,-0.15,-0.04,-11.9,-72.06,46.88,-11.38,0.55,0.02,-0.83,-0.01,29,-216170496,-579.88,33168,71.42857142857143,72
27379,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.23,254.86,0,,Force Sensor 3,0,3.44,52.63,-176.37,6.44,-1513.19,3.37,1.47,-0.24,-11.01,-72.06,46.88,-11.38,0.44,0.02,-0.9,-0.01,29,-213188608,-597.91,33181,66.66666666666667,88
27390,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.35,249.64,0,,Force Sensor 3,0,358.25,38.31,-177.25,5.44,-1484.5,3.19,-0.59,0.0,-11.48,-72.06,46.88,-11.38,0.21,0.01,-0.98,-0.02,29,-218005504,-545.53,33194,62.5,99
27406,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.61,247.29,0,,Force Sensor 3,0,358.56,24.44,-177.69,5.87,-1436.06,3.25,3.09,-0.14,-9.98,-72.06,46.88,-11.38,0.09,0.01,-1.0,-0.02,29,-214859776,-456.13,33209,62.5,115
27423,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.24,234.91,0,,Force Sensor 3,0,359.12,-2.69,-178.0,5.5,-1386.75,3.31,-1.33,-0.29,-9.61,-41.5,41.06,67.69,-0.02,0.01,-1.0,-0.02,29,-216498176,-332.62,33220,71.42857142857143,132
27435,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.36,229.78,0,,Force Sensor 3,0,359.37,-15.94,-178.0,5.56,-1379.06,3.0,-0.9,-0.16,-9.54,-41.5,41.06,67.69,-0.25,0.0,-0.97,-0.02,29,-202244096,-184.79,33233,83.33333333333333,144
27452,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.63,224.96,0,,Force Sensor 3,0,359.62,-29.31,-177.81,5.62,-1407.63,3.31,-1.1,-0.24,-10.54,-41.5,41.06,67.69,-0.37,0.0,-0.93,-0.02,29,-216039424,-33.23,33246,52.631578947368425,161
27465,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.88,227.18,0,,Force Sensor 3,0,355.87,-56.75,-176.62,5.31,-1441.94,2.75,-0.94,-0.27,-10.88,-41.5,41.06,67.69,-0.58,-0.0,-0.81,-0.02,29,-222101504,121.82,33260,76.92307692307692,174
27480,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.51,237.68,0,,Force Sensor 3,0,356.75,-71.0,-174.31,5.87,-1484.38,3.25,0.95,-0.12,-10.7,52.38,33.0,51.38,-0.58,-0.0,-0.81,-0.02,29,-213811200,263.17,33272,62.5,189
27496,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.27,245.01,0,,Force Sensor 3,0,357.37,-85.12,-178.12,5.81,-1497.0,3.0,0.78,-0.32,-10.9,52.38,33.0,51.38,-0.77,-0.01,-0.64,-0.01,29,-215187456,366.71,33286,58.82352941176471,205
27512,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.8,252.85,0,,Force Sensor 3,0,358.25,-64.81,-4.5,6.25,-1550.5,3.19,1.53,-0.12,-11.46,52.38,33.0,51.38,-0.84,-0.01,-0.54,-0.01,29,-213942272,413.64,33298,76.92307692307692,221
27527,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.51,250.06,0,,Force Sensor 3,0,358.56,-50.06,-3.06,5.69,-1539.38,2.69,1.53,-0.24,-12.07,52.38,33.0,51.38,-0.95,-0.02,-0.3,-0.01,29,-217350144,422.42,33311,58.82352941176471,236
27543,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.65,247.54,0,,Force Sensor 3,0,358.87,-35.38,-2.5,6.12,-1526.25,3.19,1.69,-0.11,-11.97,72.06,33.75,-33.19,-0.98,-0.02,-0.18,-0.01,29,-221118464,354.42,33324,62.5,252
27559,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.17,247.88,0,,Force Sensor 3,0,359.12,-21.0,-2.25,5.81,-1480.19,2.87,-0.5,-0.17,-11.66,72.06,33.75,-33.19,-1.0,-0.02,-0.06,-0.01,29,-221315072,250.8,33337,66.66666666666667,268
27572,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.17,247.88,0,,Force Sensor 3,0,359.62,7.56,-2.19,6.12,-1494.88,2.62,-1.52,0.0,-12.22,72.06,33.75,-33.19,-1.0,-0.02,0.07,-0.0,29,-221904896,108.27,33350,76.92307692307692,281
27588,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.67,254.86,0,,Force Sensor 3,0,359.87,22.37,-2.44,5.94,-1541.63,3.25,1.61,-0.1,-13.81,72.06,33.75,-33.19,-0.95,-0.02,0.32,0.0,29,-217382912,-70.86,33363,58.82352941176471,297
27607,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.04,257.38,0,,Force Sensor 3,0,0.19,37.5,-2.87,6.31,-1572.06,3.12,-0.04,-0.04,-14.23,-4.69,45.19,-68.69,-0.9,-0.02,0.44,0.0,29,-220659712,-246.97,33377,62.5,316
27619,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.28,259.55,0,,Force Sensor 3,0,0.81,68.12,-6.25,6.69,-1609.75,3.44,1.87,-0.15,-13.07,-4.69,45.19,-68.69,-0.83,-0.02,0.56,0.01,29,-213286912,-398.48,33390,83.33333333333333,328
27632,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.17,252.16,0,,Force Sensor 3,0,1.25,83.06,-19.69,6.25,-1582.5,3.31,1.91,-0.11,-14.17,-4.69,45.19,-68.69,-0.65,-0.02,0.76,0.01,29,-217546752,-521.83,33403,62.5,341
27649,0.0,0.0,0.0,0.0,0,,,,250.0,15,33.54,246.95,0,,Force Sensor 3,0,1.81,81.06,-165.0,6.5,-1571.06,2.87,1.32,-0.07,-12.9,-4.69,45.19,-68.69,-0.55,-0.02,0.84,0.01,29,-218857472,-576.77,33416,55.555555555555564,358
27669,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.03,235.07,0,,Force Sensor 3,0,2.5,66.44,-174.31,6.37,-1526.13,3.31,1.6,-0.39,-12.21,-72.06,48.69,-11.38,-0.44,-0.02,0.9,0.01,29,-214925312,-598.77,33429,62.5,378
27682,0.0,0.0,0.0,0.0,0,,,,250.0,15,34.4,225.11,0,,Force Sensor 3,0,358.31,37.5,-177.31,5.94,-1491.5,2.87,0.43,0.02,-11.56,-72.06,48.69,-11.38,-0.32,-0.01,0.95,0.01,29,-214106112,-551.73,33442,76.92307692307692,391
